ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
73,50,1,0,1,0,938,1,0,0,6,8,148,2,98,1,0.0
74,31,1,0,1,0,3739,1,0,0,11,8,117,3,-1,0,0.0
75,37,3,0,0,0,0,1,0,0,29,7,153,4,-1,0,0.0
76,42,2,0,0,0,419,1,0,0,6,2,198,2,-1,0,0.0
77,40,6,0,0,0,311,0,0,0,6,5,205,1,351,2,0.0
78,42,4,0,0,0,737,0,0,0,14,5,762,2,-1,0,0.0
79,32,0,1,2,0,180,0,0,0,13,5,804,1,-1,0,0.0
80,43,4,2,0,0,313,0,0,0,8,5,155,2,-1,0,0.0
81,49,0,0,2,0,4455,0,0,0,20,11,140,1,-1,0,0.0
82,47,0,0,2,0,2466,0,0,0,13,5,142,2,-1,0,0.0
83,36,1,0,1,0,-825,1,0,0,27,5,95,1,-1,0,0.0
84,38,1,2,1,0,-199,0,0,0,18,5,15,3,-1,0,0.0
85,25,2,1,0,0,0,0,0,0,23,7,487,5,-1,0,0.0
86,53,8,0,0,1,-233,0,0,0,11,5,133,3,-1,0,0.0
87,44,1,1,0,0,-228,0,1,0,13,5,38,1,362,2,0.0
88,31,0,0,2,0,54,0,0,0,18,5,239,6,-1,0,0.0
89,37,3,0,0,0,1283,0,0,0,20,5,209,1,-1,0,0.0
90,36,3,1,1,0,635,1,0,0,13,2,56,1,-1,0,0.0
91,41,4,2,0,0,787,0,0,0,8,5,297,2,-1,0,0.0
93,40,3,1,0,0,576,0,1,0,20,4,114,3,-1,0,0.0
94,36,3,0,0,0,0,0,1,0,11,5,94,1,-1,0,0.0
95,45,4,0,0,0,-158,0,0,1,29,7,340,1,-1,0,0.0
96,31,4,0,0,0,2050,0,0,0,18,11,271,5,-1,0,0.0
97,42,6,0,1,0,5,0,0,0,13,5,853,1,-1,0,0.0
98,51,0,0,2,0,5206,0,0,0,20,11,168,3,-1,0,0.0
99,39,2,0,0,0,616,1,0,1,8,12,170,1,-1,0,0.0
100,52,5,0,0,0,411,0,0,0,3,2,180,3,200,10,0.0
101,32,2,0,0,0,367,0,0,0,11,5,214,2,276,3,0.0
102,32,4,0,0,0,182,1,0,0,5,2,277,1,169,2,0.0
103,34,0,0,1,0,748,0,1,0,6,5,161,1,-1,0,0.0
104,31,0,0,0,0,625,0,0,0,14,5,137,3,-1,0,0.0
105,43,1,0,2,0,73,1,0,0,2,2,182,2,-1,0,0.0
106,33,0,0,0,0,0,0,0,0,17,11,809,3,181,1,0.0
107,26,0,0,2,0,755,0,0,0,28,5,61,1,-1,0,0.0
108,46,0,0,0,0,7,1,0,0,17,6,110,2,-1,0,0.0
109,43,0,0,0,0,-63,0,0,0,12,5,160,4,-1,0,0.0
110,35,8,0,0,0,533,0,0,0,6,5,802,1,-1,0,0.0
111,31,4,1,0,0,166,0,0,0,11,5,227,1,-1,0,0.0
112,58,5,2,0,0,63,1,0,0,18,11,509,1,-1,0,0.0
113,53,1,2,1,0,243,0,0,0,7,7,66,2,-1,0,0.0
114,31,3,1,1,0,2004,1,0,0,19,11,117,1,-1,0,0.0
115,74,5,0,1,0,4912,1,0,1,21,10,129,3,-1,0,0.0
116,29,0,1,0,0,234,0,0,0,8,5,139,1,345,1,0.0
117,34,0,1,2,0,2146,0,0,0,13,5,138,1,-1,0,0.0
118,38,0,1,0,0,1911,0,0,0,31,7,74,4,-1,0,0.0
119,60,5,0,1,0,614,1,0,0,29,8,50,3,-1,0,0.0
120,52,7,0,0,0,0,1,0,0,7,8,82,2,-1,0,0.0
121,29,2,1,0,0,1729,0,0,0,6,4,479,1,-1,0,0.0
122,39,0,0,2,0,-432,0,0,0,8,5,159,3,-1,0,0.0
123,41,4,2,2,0,308,1,0,0,31,7,73,1,-1,0,0.0
124,60,4,0,0,0,1446,1,0,0,21,8,283,6,-1,0,0.0
125,60,0,0,1,0,759,1,0,0,8,8,255,2,-1,0,0.0
126,31,2,1,1,0,244,1,0,0,25,8,170,4,-1,0,0.0
127,38,4,0,0,0,133,0,0,0,27,5,267,1,-1,0,0.0
128,30,0,0,0,0,1196,1,0,0,27,5,147,1,-1,0,0.0
129,40,3,1,0,0,1670,0,0,0,18,6,161,2,-1,0,0.0
130,57,5,1,2,0,604,1,0,0,19,11,187,1,-1,0,0.0
131,54,5,2,1,0,185,0,0,1,13,5,413,6,-1,0,0.0
132,45,0,1,1,0,-243,1,1,0,8,7,171,2,-1,0,0.0
133,41,2,0,1,0,-210,0,1,0,23,5,210,1,-1,0,0.0
134,36,4,0,0,0,211,0,0,0,9,5,93,2,-1,0,0.0
135,48,4,0,0,0,74,1,0,0,2,2,201,1,-1,0,0.0
136,24,2,1,1,0,10,0,0,0,18,5,78,2,367,2,0.0
137,51,2,0,0,0,563,0,0,0,17,7,117,3,-1,0,0.0
138,35,1,1,0,0,2361,1,0,0,9,7,90,10,-1,0,0.0
139,43,3,0,0,0,0,1,0,0,20,6,804,12,-1,0,0.0
140,52,6,0,0,0,213,0,0,0,14,5,164,2,-1,0,0.0
142,35,4,1,0,0,544,0,0,0,7,5,91,1,345,2,0.0
143,24,4,1,0,0,281,0,0,0,8,5,211,2,337,3,0.0
144,59,5,0,0,0,201,1,0,0,31,7,69,7,-1,0,0.0
145,57,7,0,0,0,618,0,0,0,8,5,10,7,-1,0,0.0
146,26,0,1,0,0,2353,1,0,0,3,2,498,2,-1,0,0.0
147,31,2,1,0,0,691,0,0,0,8,5,198,1,-1,0,0.0
148,53,1,0,1,0,-1112,0,0,0,13,5,53,3,308,1,0.0
149,39,0,1,0,0,1170,1,0,0,6,6,383,1,-1,0,0.0
150,52,1,0,0,0,0,1,0,0,30,7,249,3,-1,0,0.0
151,40,2,0,0,0,17,1,0,1,17,11,192,1,-1,0,0.0
152,37,2,0,0,0,1120,0,0,0,30,5,103,5,-1,0,0.0
153,52,4,2,2,0,111,0,0,0,12,5,179,2,-1,0,0.0
154,39,0,0,0,0,3045,1,0,0,4,2,260,2,-1,0,0.0
155,35,6,1,1,0,538,0,1,0,8,5,21,9,-1,0,0.0
156,40,3,1,0,0,664,1,0,0,19,11,188,2,121,2,0.0
157,35,3,0,0,0,-257,1,0,0,28,1,117,3,-1,0,0.0
158,31,0,0,2,0,-199,0,1,1,12,5,149,5,299,10,0.0
159,31,3,0,0,0,-241,0,0,0,22,7,1287,5,-1,0,0.0
160,34,1,1,1,0,-64,0,1,0,28,8,693,7,-1,0,0.0
161,57,2,0,0,0,3240,0,0,0,14,5,129,2,-1,0,0.0
162,30,0,1,0,0,16,0,0,0,19,5,127,5,-1,0,0.0
163,31,0,1,0,0,4415,0,0,0,2,6,329,1,-1,0,0.0
164,22,4,1,0,0,652,1,0,1,31,8,139,1,-1,0,0.0
165,47,1,0,1,0,0,1,0,0,19,8,213,2,-1,0,0.0
166,35,1,0,1,0,4038,0,1,0,27,5,160,6,-1,0,0.0
167,44,7,0,1,0,1631,0,0,0,17,11,81,1,195,2,0.0
169,31,0,1,2,0,5972,1,0,1,20,11,59,1,-1,0,0.0
170,39,2,0,0,0,994,1,0,0,5,2,221,1,241,1,0.0
171,41,3,0,0,0,705,0,0,0,13,5,205,1,-1,0,0.0
172,36,4,0,0,0,183,0,0,0,20,5,103,3,-1,0,0.0
173,39,7,2,1,0,0,1,0,0,16,4,561,3,-1,0,0.0
174,58,2,2,0,0,553,0,0,0,28,7,174,2,-1,0,0.0
175,31,1,0,1,0,2984,1,0,0,22,4,343,5,-1,0,0.0
176,46,2,0,0,0,626,0,0,0,26,5,399,2,-1,0,0.0
177,34,2,1,1,0,2047,0,0,0,28,7,57,5,-1,0,0.0
178,32,4,0,0,0,55,0,0,0,15,5,546,9,-1,0,0.0
179,53,2,0,0,0,768,0,0,0,10,7,218,1,-1,0,0.0
180,57,5,1,0,0,976,0,0,0,9,7,98,1,-1,0,0.0
181,52,6,2,0,0,385,1,1,0,26,8,96,4,-1,0,0.0
182,36,9,0,2,0,122,1,0,0,6,6,78,1,-1,0,0.0
183,54,0,0,0,0,0,1,0,1,16,4,1366,1,150,1,0.0
184,23,7,0,1,0,489,1,1,0,18,8,235,4,-1,0,0.0
185,34,0,0,0,0,233,0,0,0,18,11,98,1,-1,0,0.0
186,31,2,1,0,0,506,1,0,0,21,8,43,4,-1,0,0.0
187,54,4,0,0,0,158,0,0,0,19,5,198,1,-1,0,0.0
188,79,5,2,2,0,1910,1,0,1,24,2,98,2,-1,0,0.0
189,56,1,0,0,0,819,1,0,0,9,6,55,1,-1,0,0.0
190,35,1,0,1,0,646,0,0,0,18,11,84,2,-1,0,0.0
191,33,4,0,0,0,7,0,0,0,20,5,217,1,-1,0,0.0
192,33,4,1,0,0,358,0,0,0,7,5,302,1,356,3,0.0
193,47,8,0,0,0,2024,1,0,0,9,6,169,1,-1,0,0.0
194,34,2,0,0,0,945,0,1,0,24,7,181,1,-1,0,0.0
195,45,0,0,0,0,-149,0,0,0,15,5,644,2,-1,0,0.0
196,34,2,0,1,0,1524,0,0,0,16,4,399,1,-1,0,0.0
197,43,8,0,2,0,240,0,0,0,23,5,83,2,-1,0,0.0
198,33,0,1,0,0,2945,1,0,0,20,11,91,1,-1,0,0.0
199,45,3,0,0,0,-405,1,0,0,31,7,189,3,-1,0,0.0
200,33,2,1,1,0,49,1,0,0,25,8,476,3,-1,0,0.0
201,31,0,0,0,0,897,0,0,0,20,5,26,2,-1,0,0.0
202,30,2,1,0,0,518,0,0,0,2,6,21,1,-1,0,0.0
203,42,9,0,2,1,16,1,0,0,11,6,79,1,-1,0,0.0
204,28,10,1,0,0,5916,1,0,0,22,5,259,1,63,5,0.0
205,34,3,2,0,0,67,0,0,0,6,5,90,1,-1,0,0.0
206,34,0,1,0,0,1599,0,0,0,12,5,59,3,-1,0,0.0
207,44,0,0,2,0,8,1,0,0,28,1,531,1,-1,0,0.0
208,28,1,1,1,0,3238,0,0,0,19,5,7,1,-1,0,0.0
209,44,0,0,0,0,138,0,0,0,8,5,283,3,-1,0,0.0
210,30,1,1,1,0,21,1,0,0,26,8,61,7,-1,0,0.0
211,34,1,1,0,0,356,0,0,0,30,7,52,7,-1,0,0.0
212,80,5,2,2,0,5861,1,0,1,26,4,92,8,-1,0,0.0
213,35,1,1,1,0,151,1,0,0,20,9,11,1,850,2,0.0
214,35,2,0,1,0,393,1,0,0,29,8,150,2,-1,0,0.0
215,51,8,0,1,0,174,1,1,0,11,7,222,7,-1,0,0.0
216,52,0,0,2,0,126,1,0,0,23,5,93,4,-1,0,0.0
217,32,0,1,0,0,5252,0,0,0,21,5,1162,2,-1,0,0.0
218,41,2,0,0,0,442,0,1,0,17,4,261,3,322,1,0.0
219,33,6,0,1,0,0,0,0,0,19,11,122,2,-1,0,0.0
220,36,0,0,0,0,160,0,0,0,30,1,344,2,-1,0,0.0
221,35,0,2,1,0,3547,0,0,0,19,11,289,1,-1,0,0.0
222,51,9,0,2,0,618,0,1,0,4,2,69,1,-1,0,0.0
223,39,0,1,0,0,0,0,0,0,7,5,722,2,-1,0,0.0
224,46,4,0,0,0,12,1,0,0,26,8,225,3,-1,0,0.0
225,40,0,0,0,0,316,0,0,0,7,5,266,2,-1,0,0.0
226,56,1,0,2,0,405,1,0,0,21,7,251,2,-1,0,0.0
227,55,5,0,0,0,1467,1,1,0,29,7,277,2,-1,0,0.0
228,42,1,1,1,0,1768,0,0,0,8,5,193,2,-1,0,0.0
229,59,9,0,2,0,96,1,0,0,6,8,88,2,-1,0,0.0
230,35,0,0,0,0,53,0,0,0,16,5,258,2,-1,0,0.0
231,40,2,0,0,0,84,0,0,0,8,8,119,3,-1,0,0.0
232,37,4,0,0,0,4430,0,0,0,5,5,175,1,-1,0,0.0
233,52,0,0,0,0,633,0,0,0,14,5,292,1,-1,0,0.0
234,35,0,0,2,0,456,0,0,0,2,6,71,1,-1,0,0.0
235,46,0,0,0,0,0,0,0,0,26,5,208,2,-1,0,0.0
236,34,9,0,0,0,1969,1,0,0,7,8,252,4,-1,0,0.0
237,27,1,1,1,0,385,1,1,0,31,7,52,7,-1,0,0.0
238,45,3,0,0,0,137,0,0,0,14,5,427,1,-1,0,0.0
239,29,4,1,0,0,166,1,1,0,28,7,108,8,-1,0,0.0
240,31,2,1,0,0,19,1,0,1,4,7,65,2,-1,0,0.0
241,33,0,0,0,0,245,0,0,0,14,5,437,2,370,8,0.0
242,56,1,2,1,0,442,1,0,0,28,5,77,3,-1,0,0.0
243,25,4,1,0,0,32,0,0,0,16,5,124,1,-1,0,0.0
244,40,1,2,0,0,-626,0,0,0,7,7,140,4,-1,0,0.0
245,48,0,0,2,0,2519,1,0,1,22,8,105,5,-1,0,0.0
246,34,2,2,0,0,-324,1,0,0,14,8,166,4,-1,0,0.0
247,59,5,0,2,0,2722,1,0,0,16,6,145,1,-1,0,0.0
248,57,0,0,0,0,166,1,0,0,4,8,58,1,-1,0,0.0
249,45,0,0,2,0,751,1,0,0,28,8,151,4,-1,0,0.0
250,33,1,0,1,0,644,0,1,0,3,2,124,2,271,2,0.0
251,45,0,0,0,0,156,0,1,0,28,5,47,1,-1,0,0.0
252,32,8,0,0,1,2,0,0,0,13,5,178,2,-1,0,0.0
253,34,0,1,1,0,42,1,0,0,5,8,297,1,-1,0,0.0
254,31,0,0,2,0,392,0,0,0,14,5,465,2,360,1,0.0
255,32,3,1,0,0,73,0,0,0,28,5,545,1,-1,0,0.0
256,58,0,2,2,0,1299,1,0,0,19,7,128,2,234,2,0.0
257,43,3,0,0,0,324,1,0,0,8,8,629,4,-1,0,0.0
258,48,0,1,2,0,316,1,0,0,5,6,560,2,-1,0,0.0
259,41,1,0,1,0,51,1,0,0,25,8,140,8,-1,0,0.0
260,38,2,1,0,0,435,0,0,0,6,5,437,4,345,1,0.0
261,31,1,0,1,0,2937,0,0,0,4,2,173,1,-1,0,0.0
262,56,5,0,0,0,397,0,0,0,23,5,252,1,-1,0,0.0
263,32,3,0,0,0,76,0,0,0,21,5,189,2,-1,0,0.0
264,49,0,0,2,0,-117,1,0,0,25,8,53,6,-1,0,0.0
265,58,1,2,1,0,5,0,0,0,9,6,412,1,-1,0,0.0
266,46,3,2,0,0,660,0,0,0,29,1,1026,1,259,2,0.0
267,51,4,0,0,0,5801,0,0,0,29,5,147,2,-1,0,0.0
268,41,0,0,2,0,-571,0,1,0,26,5,207,4,-1,0,0.0
269,36,3,1,0,0,0,0,1,0,16,5,213,1,-1,0,0.0
270,33,0,0,2,0,463,0,0,0,23,5,230,1,-1,0,0.0
271,35,1,2,0,0,124,0,0,0,16,4,48,4,146,5,0.0
272,35,4,1,0,0,11,0,0,0,25,7,294,1,-1,0,0.0
273,49,4,0,0,0,66,0,1,0,21,11,59,4,-1,0,0.0
274,50,2,1,0,0,330,1,0,0,6,8,376,3,-1,0,0.0
275,42,2,2,0,0,0,0,0,0,30,5,115,6,-1,0,0.0
276,33,1,0,0,0,-224,0,0,0,14,5,152,2,259,8,0.0
277,38,0,0,2,0,580,0,0,0,30,5,572,6,-1,0,0.0
278,37,1,1,0,0,8311,0,0,0,16,4,474,2,-1,0,0.0
279,42,6,0,1,0,2821,1,0,0,11,6,203,2,-1,0,0.0
280,41,2,0,0,0,112,0,0,0,17,11,1081,1,131,1,0.0
281,56,4,2,0,0,935,1,0,0,2,6,136,1,96,3,0.0
282,32,0,0,0,1,-238,0,0,0,27,5,427,1,-1,0,0.0
283,45,0,2,0,0,-705,1,1,0,3,7,111,1,-1,0,0.0
284,34,1,0,0,0,5127,1,1,0,10,7,559,2,-1,0,0.0
285,75,5,2,2,0,46,1,0,0,2,2,294,1,-1,0,0.0
286,38,0,0,0,0,757,0,0,0,2,2,133,1,272,1,0.0
287,58,5,2,0,0,439,1,1,0,10,7,48,2,-1,0,0.0
288,57,2,0,0,0,109,1,0,0,25,8,124,4,-1,0,0.0
289,25,1,1,1,0,295,1,0,0,5,6,169,1,-1,0,0.0
290,39,1,1,1,0,816,0,0,0,27,8,37,3,-1,0,0.0
291,28,0,1,0,0,-267,0,0,0,20,6,86,4,-1,0,0.0
292,31,2,1,0,0,591,0,1,0,15,5,14,5,-1,0,0.0
293,41,3,0,2,0,0,0,0,0,6,5,184,2,323,1,0.0
294,41,8,0,1,0,1666,1,0,0,9,6,291,3,-1,0,0.0
295,33,1,1,1,0,923,0,0,0,19,11,1307,3,173,6,0.0
296,38,0,1,0,0,573,0,0,0,12,5,334,7,-1,0,0.0
297,49,0,0,2,0,3049,1,0,0,12,6,124,2,-1,0,0.0
298,29,4,1,1,0,1788,1,0,0,4,2,303,1,100,1,0.0
299,41,0,0,0,0,-256,0,0,0,3,6,147,2,-1,0,0.0
300,55,1,2,0,0,1526,0,0,0,18,11,105,1,-1,0,0.0
301,37,0,2,0,0,368,0,0,0,13,5,194,2,-1,0,0.0
302,36,8,0,0,0,16,0,1,0,17,11,89,2,-1,0,0.0
303,66,5,0,1,0,908,1,0,0,28,1,156,2,-1,0,0.0
304,56,1,0,1,0,480,0,0,1,2,4,173,2,-1,0,0.0
305,35,6,0,0,0,524,0,0,0,21,11,484,4,-1,0,0.0
306,38,0,0,2,0,3057,0,0,0,11,6,133,1,-1,0,0.0
307,43,2,2,0,0,1326,1,0,0,26,8,93,2,-1,0,0.0
308,36,1,0,1,0,2687,1,0,0,16,4,58,3,-1,0,0.0
309,40,2,0,0,0,-396,0,0,0,26,5,127,1,-1,0,0.0
310,29,1,1,1,0,1514,0,0,1,5,5,363,1,333,7,0.0
311,26,3,1,0,0,96,1,0,0,2,6,696,1,27,2,0.0
312,54,1,0,1,0,1168,1,0,1,4,5,150,5,-1,0,0.0
313,45,1,0,1,0,0,1,0,0,11,8,102,4,-1,0,0.0
314,54,6,0,0,0,534,0,0,0,2,2,165,1,188,4,0.0
315,50,0,0,2,0,111,0,0,1,15,5,8,6,366,1,0.0
316,29,0,1,0,0,0,0,0,0,28,5,324,4,-1,0,0.0
317,28,3,1,1,0,164,0,0,0,9,2,92,7,-1,0,0.0
318,35,0,0,2,0,793,0,0,0,17,4,106,1,-1,0,0.0
319,50,1,0,1,0,67,1,1,0,20,6,156,3,-1,0,0.0
320,39,1,1,1,0,26,0,1,0,26,5,304,4,-1,0,0.0
321,52,1,1,1,0,37,1,0,0,7,7,1284,1,-1,0,0.0
322,35,4,2,0,0,1529,1,0,0,20,6,20,5,-1,0,0.0
323,34,1,0,1,0,161,0,0,0,11,7,378,1,-1,0,0.0
324,50,3,1,0,0,424,0,0,0,12,5,72,2,-1,0,0.0
325,46,6,0,2,0,2295,0,0,0,11,6,138,1,-1,0,0.0
326,31,4,1,0,0,695,0,0,0,3,4,314,1,318,1,0.0
327,32,1,2,1,0,5550,0,0,0,8,8,89,4,-1,0,0.0
328,57,2,0,1,0,4043,0,0,0,7,8,122,4,-1,0,0.0
329,44,4,0,0,0,1422,0,0,0,20,5,129,8,-1,0,0.0
330,36,3,2,0,0,0,1,0,0,11,6,203,3,-1,0,0.0
331,30,3,0,0,0,4,1,0,0,20,6,7,2,-1,0,0.0
332,31,1,2,1,0,416,1,0,0,11,8,33,2,-1,0,0.0
333,40,2,0,0,0,1819,1,0,0,5,6,398,2,-1,0,0.0
334,46,6,0,1,0,2421,1,0,0,11,8,170,4,-1,0,0.0
335,31,4,0,1,1,-90,1,1,0,1,7,173,1,-1,0,0.0
336,25,6,0,1,0,1182,0,0,0,26,5,141,2,-1,0,0.0
337,54,0,0,2,0,211,1,0,0,19,6,200,2,-1,0,0.0
338,24,2,1,0,0,434,1,0,0,28,5,331,1,-1,0,0.0
340,36,6,0,1,0,10,1,0,0,29,8,47,4,-1,0,0.0
341,46,2,0,0,0,152,1,0,0,9,7,72,1,-1,0,0.0
342,38,0,0,2,0,27,0,0,0,27,5,62,4,-1,0,0.0
343,35,3,0,0,0,160,0,1,0,16,4,304,1,-1,0,0.0
344,58,2,0,0,0,5618,0,0,0,15,5,113,1,-1,0,0.0
345,27,7,0,0,0,554,0,0,0,16,5,131,1,-1,0,0.0
346,31,0,1,0,0,2137,1,0,0,29,5,413,1,-1,0,0.0
347,55,3,0,0,0,9329,1,0,0,19,3,181,1,-1,0,0.0
348,36,1,2,1,0,1406,0,0,0,18,8,266,4,-1,0,0.0
349,33,0,2,0,0,865,0,0,0,18,5,158,2,-1,0,0.0
350,42,0,1,2,0,92,1,0,0,30,7,86,2,-1,0,0.0
351,30,7,0,2,0,501,0,1,0,6,5,323,2,-1,0,0.0
352,51,9,0,2,0,3486,1,0,0,20,8,135,11,-1,0,0.0
353,34,3,2,0,0,2144,0,0,0,23,5,157,1,-1,0,0.0
354,37,0,0,0,0,2066,0,1,0,21,11,10,7,113,5,0.0
355,52,3,2,0,0,0,0,0,0,26,5,206,1,-1,0,0.0
356,47,1,0,1,0,643,0,0,0,8,5,155,1,-1,0,0.0
357,43,0,2,2,0,1260,1,1,0,6,6,17,4,-1,0,0.0
358,45,3,0,0,0,5244,0,0,0,29,5,18,16,-1,0,0.0
360,30,1,0,1,0,367,1,0,0,4,2,170,2,-1,0,0.0
361,54,8,0,2,0,6427,0,0,1,19,11,53,1,-1,0,0.0
362,49,3,0,0,0,381,1,0,0,5,8,504,2,-1,0,0.0
363,54,4,0,2,0,198,0,0,0,31,7,69,3,-1,0,0.0
364,61,0,0,2,0,7879,1,0,1,28,7,186,9,-1,0,0.0
365,28,3,1,0,0,3,1,0,0,14,5,138,2,-1,0,0.0
366,36,1,0,1,0,2660,1,0,0,6,8,252,2,-1,0,0.0
367,56,6,0,0,0,14,1,0,0,16,7,239,1,-1,0,0.0
368,49,4,2,0,0,933,1,1,0,29,7,92,33,-1,0,0.0
369,36,6,2,1,0,149,1,0,0,18,11,257,2,-1,0,0.0
370,45,3,0,0,0,1387,0,0,0,10,7,446,1,-1,0,0.0
371,55,4,0,0,0,642,0,0,0,11,7,232,2,-1,0,0.0
372,44,0,0,0,0,701,1,1,0,3,7,269,2,-1,0,0.0
373,56,5,2,1,0,-458,0,0,0,15,5,406,4,296,3,0.0
374,31,2,1,0,0,674,0,1,0,3,6,150,3,-1,0,0.0
375,34,1,0,1,0,889,0,0,0,24,7,539,1,-1,0,0.0
376,32,1,1,1,0,2059,1,0,0,4,2,886,2,-1,0,0.0
377,29,3,0,0,0,396,0,0,0,30,5,205,2,-1,0,0.0
378,48,3,0,0,0,112,1,0,0,18,8,139,5,-1,0,0.0
379,24,0,0,0,0,1470,0,0,0,12,5,212,1,-1,0,0.0
